# combination; distance; defense; faint; body
# 57 combinations begin
# https://www.youtube.com/watch?v=93r6lz1pbcw&list=PLwhbxihJxPp5cPKuSObiP_WBR9IOfd9B-&index=30
1-2-lean_back-short_2-3; Long;  Yes;  No;  No
1-1-2-side_step_right_with_3-2; Long;  Yes;  No;  No
1-2-3b-3-2; Long;  No;  No;  Yes
1-2-right_side_step_with_3b; Long;  Yes;  No;  Yes
2-1-2-3-slip_left-3b; Long;  Yes;  No;  Yes
step_slip_right_with_1+2_with_angle_change; Long;  Yes;  No;  No
step_slip_left_with_2+3_with_angle_change; Long;  Yes;  No;  No
head_out_of_line_left_corscrew_1-2; Long;  Yes;  No;  No
head_out_of_line_right_1-2; Long;  Yes;  No;  No
head_out_of_line_right_1+pivot_right; Long;  Yes;  No;  No
defense_catch_1+counter_1; Long;  Yes;  No;  No
defense_block_3+counter_3; Long;  Yes;  No;  No
defense_block_4+counter_3; Long;  Yes;  No;  No
defense_block_1+counter_2; Long;  Yes;  No;  No
defense_block_2+counter_2; Long;  Yes;  No;  No
defense-block_3b+counter_6; Long;  Yes;  No;  No
defense-block_4b+counter_5; Long;  Yes;  No;  No
very_long_annoying 1,3,5; Long;  Yes;  No;  No
overhand_2 counter with step left; Long;  Yes;  No;  No
overhand_2 counter with slip left; Long;  Yes;  No;  No
1_with_slip entry with step; Long;  Yes;  No;  No
2_with_slip entry with step; Long;  Yes;  No;  No
1_with_slip defense counter; Long;  Yes;  No;  No
2_with_slip defense counter; Long;  Yes;  No;  No
1-2-roll-2-3-2; Long;  Yes;  No;  No
1-2-3-2-3-2; Long;  No;  No;  No
1-2-slip-slip-3-2; Long;  Yes;  No;  No
1-2-slip-slip-roll-2-3-2; Long;  Yes;  No;  No
1-2-step-back-6-3-2; Long;  Yes;  No;  No
close slip-right-4b-shuffle_step-4; Short;  Yes;  No;  No
close slip-left-3b-shuffle_step-3; Short;  Yes;  No;  No
long side_step_left-1; Long;  Yes;  No;  No
long side_step_left-3; Long;  Yes;  No;  No
long side_step_left-5; Long;  Yes;  No;  No
long side_step_right-2; Long;  Yes;  No;  No
long side_step_right-4; Long;  Yes;  No;  No
long side_step_right-6; Long;  Yes;  No;  No
close side_step_left-3; Short;  Yes;  No;  No
close side_step_left-5; Short;  Yes;  No;  No
close side_step_right-4; Short;  Yes;  No;  No
close side_step_right-6; Short;  Yes;  No;  No
1-with-slip-right+pivot_right; Long;  Yes;  No;  No
with steps 1-2 step_right+shift-3; Long;  Yes;  No;  No
with steps 2-3 step_left+shift-4; Long;  Yes;  No;  No
with steps 1-pivot_right; Long;  Yes;  No;  No
with step 1 right+shift-3b-3; Long;  Yes;  No;  No
with step 2 left+shift-4b-4; Long;  Yes;  No;  No
1-2-right_side_step+2-3b-3b; Long;  Yes;  No;  No
close step_left_6-pivot_3; Short;  Yes;  No;  No
close 3b-side_step_right-3b; Short;  Yes;  No;  Yes
1-2-slip-slip-roll 2-3-2 stepback 6-3-2  1-1-2; Long;  Yes;  No;  No
close setup 1 side_step_right-3b_between_guard; Short;  No;  No;  Yes
close setup 1-2-1 6; Short;  No;  No;  No
stepping 1-2-gazelle-3; Long;  No;  No;  No
close setup short 1 4-3b; Short;  No;  No;  No

